Token_ID,Symbol,Series,Price_Band,Company_Name,ISIN,High_Price_Rs
16921,20MICRONS,EQ,20,20 MICRONS LTD,INE144J01027,226.02
13061,360ONE,EQ,20,360 ONE WAM LIMITED,INE466L01038,1040.0
6232,3IINFOLTD,EQ,20,3I INFOTECH LIMITED,INE748C01038,25.97
474,3MINDIA,EQ,20,3M INDIA LIMITED,INE470A01017,29440.0
445,5PAISA,EQ,20,5PAISA CAPITAL LIMITED,INE618L01018,423.0
12533,AAATECH,EQ,20,AAA TECHNOLOGIES LIMITED,INE0D0U01013,89.5
235,AAKASH,EQ,20,AAKASH EXPLORATION SER L,INE087Z01024,8.42
1030,AARON,EQ,20,AARON INDUSTRIES LIMITED,INE721Z01010,399.45
4481,AARTIDRUGS,EQ,20,AARTI DRUGS LTD.,INE767A01016,480.0
13868,AARTIPHARM,EQ,20,AARTI PHARMALABS LIMITED,INE0LRU01027,925.55
19073,AARVI,EQ,20,AARVI ENCON LIMITED,INE754X01016,121.6
5385,AAVAS,EQ,20,AAVAS FINANCIERS LIMITED,INE216P01012,1838.0
17903,ABBOTINDIA,EQ,20,ABBOTT INDIA LIMITED,INE358A01014,30840.0
24404,ABGSEC,EQ,20,BIRLASLAMC - ABGSEC,INF209KC1134,110.9
625,ABREL,EQ,20,ADITYA BIRLA REAL EST LTD,INE055A01016,2213.0
6018,ABSLAMC,EQ,20,ADIT BIRL SUN LIF AMC LTD,INE404A01024,759.4
13987,ABSLBANETF,EQ,20,BIRLASLAMC - ABSLBANETF,INF209KB17D5,56.85
14518,ABSLLIQUID,EQ,20,BIRLASLAMC - ABSLLIQUID,INF209KB18T9,1000.01
7339,ABSLNN50ET,EQ,20,BIRLASLAMC - ABSLNN50ET,INF209KB16D7,70.0
23806,ABSLPSE,EQ,20,BIRLASLAMC-ABSLPSE,INF209KB19Z4,10.19
7053,ACCELYA,EQ,20,ACCELYA SOLN INDIA LTD,INE793A01012,1405.0
1465,ACCURACY,EQ,20,ACCURACY SHIPPING LIMITED,INE648Z01023,8.75
13587,ACE,EQ,20,ACTION CONST EQUIP LTD,INE731H01025,1277.0
11779,ACEINTEG,EQ,20,ACE INTEGRATED SOLU. LTD.,INE543V01017,27.14
12024,ACI,EQ,20,ARCHEAN CHEMICAL IND LTD,INE128X01021,628.7
13688,ACLGATI,EQ,20,ALLCARGO GATI LIMITED,INE152B01027,69.61
5578,ACUTAAS,EQ,20,ACUTAAS CHEMICALS LIMITED,INE00FF01025,1194.0
17388,ADANIPOWER,EQ,20,ADANI POWER LTD,INE814H01011,559.9
19761,ADFFOODS,EQ,20,ADF FOODS LIMITED,INE982B01027,264.0
34,ADOR,EQ,20,ADOR WELDING LTD,INE045A01017,1003.9
14813,ADSL,EQ,20,ALLIED DIGITAL SERV. LTD,INE102I01027,209.6
14745,ADVANIHOTR,EQ,20,ADVANI HOT.& RES.(I) LTD,INE199C01026,62.15
18039,ADVENZYMES,EQ,20,ADVANCED ENZYME TECH LTD,INE837H01020,307.95
40,AEGISLOG,EQ,20,AEGIS LOGISTICS LIMITED,INE208C01025,811.8
18268,AEROFLEX,EQ,20,AEROFLEX INDUSTRIES LTD,INE024001021,166.3
25977,AFCONS,EQ,20,AFCONS INFRASTRUCTURE LTD,INE101I01011,429.7
11343,AFFLE,EQ,20,AFFLE 3I LIMITED,INE00WC01027,1785.0
25855,AFFORDABLE,EQ,20,AFFORD ROBO & AUTO LTD,INE692Z01013,438.4
24159,AFIL,EQ,20,AKME FINTRADE (INDIA) LTD,INE916Y01027,8.5
13288,AFSL,EQ,20,ABANS FINANCIAL SRVCS LTD,INE00ZE01026,219.0
3389,AGARIND,EQ,20,AGARWAL INDS CORP LTD.,INE204E01012,965.95
29452,AGARWALEYE,EQ,20,DR AGARWALS HEALTH CARE L,INE943P01029,337.6
1412,AGI,EQ,20,AGI GREENPAC LIMITED,INE415A01038,863.35
24445,AGIIL,EQ,20,AGI INFRA LIMITED,INE976R01025,857.5
11072,AGRITECH,EQ,20,AGRI-TECH (INDIA) LIMITED,INE449G01018,165.0
9046,AGROPHOS,EQ,20,AGRO PHOS INDIA LIMITED,INE740V01019,35.44
2004,AHLADA,EQ,20,AHLADA ENGINEERS LIMITED,INE00PV01013,71.39
19438,AHLEAST,EQ,20,ASIAN HOTELS (EAST) LTD,INE926K01017,142.18
17833,AHLUCONT,EQ,20,AHLUWALIA CONT IND LTD,INE758C01029,996.0
